read,domain,e-value
M00595:42:000000000-A5J1T:1:2109:8117:23622;sample=PMRS0194.MID16-16.P2.apr13;size=2;,DBLa0.23,5.4e-44
M00595:42:000000000-A5J1T:1:1103:17544:11500;sample=PMRS0438.MID29-31.P1.apr13;size=8;,DBLa0.4,7.2e-49
M00595:42:000000000-A5J1T:1:1102:16384:5947;sample=PMRS0258.MID20-22.P1.apr13;size=1;,DBLa1.8,7.1e-58
M00595:42:000000000-A5J1T:1:1104:23214:13022;sample=PMRS0050.MID04-04.P2.apr13;size=1;,DBLa0.1,2.8e-58
M00595:42:000000000-A5J1T:1:1101:16961:6850;sample=PMRS0429.MID28-30.P2.apr13;size=1;,DBLa0.5,1.5e-46
M00595:42:000000000-A5J1T:1:2103:9851:22922;sample=PMRS0267.MID21-21.P2.apr13;size=2;,DBLa0.4,1.6e-55
M00595:42:000000000-A5J1T:1:2109:11824:6412;sample=PMRS0389.MID26-27.P1.apr13;size=1;,DBLa0.7,1.4e-43
M00595:42:000000000-A5J1T:1:2114:21949:7108;sample=PMRS0184.MID15-16.P2.apr13;size=1;,DBLa0.5,5.1e-47
M00595:42:000000000-A5J1T:1:1105:24213:11352;sample=PMRS0429.MID28-30.P2.apr13;size=2;,DBLa0.9,5.7e-52
M00595:42:000000000-A5J1T:1:2113:21450:17139;sample=PMRS0506.MID33-35.P2.apr13;size=1;,DBLa0.8,3.4e-58
M00595:42:000000000-A5J1T:1:1110:17504:16340;sample=PMRS0206.MID16-18.P2.apr13;size=1;,DBLa0.11,1.7e-43
M00595:42:000000000-A5J1T:1:1113:5084:13899;sample=PMRS0050.MID04-04.P2.apr13;size=1;,DBLa0.8,2e-55
M00595:42:000000000-A5J1T:1:1118:21861:11195;sample=PMRS0394.MID26-28.P2.apr13;size=2;,DBLa0.8,1e-43
M00595:42:000000000-A5J1T:1:2117:25559:9817;sample=PMRS0002.MID01-01.P1.apr13;size=4;,DBLa1.8,1e-50
M00595:42:000000000-A5J1T:1:2119:11590:20097;sample=PMRS0118.MID10-10.P1.apr13;size=1;,DBLa0.15,8.1e-54
M00595:42:000000000-A5J1T:1:2106:27361:13109;sample=PMRS0521.MID34-34.P2.apr13;size=1;,DBLa0.19,3.1e-59
M00595:42:000000000-A5J1T:1:2105:11838:23565;sample=PMRS0040.MID03-04.P2.apr13;size=4;,DBLa1.2,3e-54
M00595:42:000000000-A5J1T:1:1105:14666:18819;sample=PMRS0438.MID29-31.P1.apr13;size=1;,DBLa0.15,3.4e-55
M00595:42:000000000-A5J1T:1:1117:22416:20317;sample=PMRS0042.MID03-05.P1.apr13;size=1;,DBLa0.1,6.9e-55
M00595:42:000000000-A5J1T:1:2105:13309:20337;sample=PMRS0440.MID29-31.P2.apr13;size=1;,DBLa0.1,4.1e-55
M00595:42:000000000-A5J1T:1:1107:12253:10930;sample=PMRS0034.MID03-03.P2.apr13;size=1;,DBLa0.1,5.3e-57
M00595:42:000000000-A5J1T:1:2106:21331:17921;sample=PMRS0469.MID31-32.P1.apr13;size=1;,DBLa1.4,1.2e-49
M00595:42:000000000-A5J1T:1:2118:21547:20122;sample=PMRS0050.MID04-04.P2.apr13;size=1;,DBLa0.13,1.4e-51
M00595:42:000000000-A5J1T:1:2110:13718:9889;sample=PMRS0254.MID20-21.P1.apr13;size=1;,DBLa0.1,3.3e-56
M00595:42:000000000-A5J1T:1:1101:16584:2695;sample=PMRS0223.MID18-18.P2.apr13;size=3;,DBLa1.2,5.2e-52
M00595:42:000000000-A5J1T:1:1103:22717:13773;sample=PMRS0389.MID26-27.P1.apr13;size=1;,DBLa0.9,1.1e-50
M00595:42:000000000-A5J1T:1:2119:15642:20330;sample=PMRS0412.MID27-29.P2.apr13;size=1;,DBLa0.8,2.9e-51
M00595:42:000000000-A5J1T:1:1111:12372:14675;sample=PMRS0409.MID27-29.P1.apr13;size=2;,DBLa0.12,3.4e-51
M00595:42:000000000-A5J1T:1:2105:6761:2564;sample=PMRS0379.MID25-27.P2.apr13;size=1;,DBLa0.22,6.1e-43
M00595:42:000000000-A5J1T:1:2117:7837:4133;sample=PMRS0231.MID18-20.P2.apr13;size=1;,DBLa0.5,2.3e-52
M00595:42:000000000-A5J1T:1:2116:26730:10585;sample=PMRS0301.MID22-24.P1.apr13;size=1;,DBLa0.24,1.9e-45
M00595:42:000000000-A5J1T:1:2104:12159:5695;sample=PMRS0034.MID03-03.P2.apr13;size=3;,DBLa1.2,7.6e-53
M00595:42:000000000-A5J1T:1:1107:23107:15163;sample=PMRS0384.MID26-26.P1.apr13;size=1;,DBLa0.5,7.5e-57
M00595:42:000000000-A5J1T:1:2119:19054:5471;sample=PMRS0412.MID27-29.P2.apr13;size=1;,DBLa0.15,3.6e-51
M00595:42:000000000-A5J1T:1:1108:10415:17227;sample=PMRS0438.MID29-31.P1.apr13;size=2;,DBLa0.1,1e-52
M00595:42:000000000-A5J1T:1:2108:15187:4102;sample=PMRS0431.MID29-29.P2.apr13;size=3;,DBLa0.19,2.4e-52
M00595:42:000000000-A5J1T:1:1110:11840:8334;sample=PMRS0302.MID22-24.P2.apr13;size=2;,DBLa0.11,1.4e-57
M00595:42:000000000-A5J1T:1:1104:6776:10504;sample=PMRS0007.MID01-03.P2.apr13;size=2;,DBLa0.21,5.7e-57
M00595:42:000000000-A5J1T:1:1117:4678:9515;sample=PMRS0379.MID25-27.P2.apr13;size=3;,DBLa0.5,6.9e-57
M00595:42:000000000-A5J1T:1:1110:9649:14121;sample=PMRS0138.MID10-13.P2.apr13;size=1;,DBLa0.9,2.2e-51
M00595:42:000000000-A5J1T:1:2117:9765:3127;sample=PMRS0345.MID24-24.P2.apr13;size=1;,DBLa0.8,3.3e-52
M00595:42:000000000-A5J1T:1:2106:14799:13248;sample=PMRS0386.MID26-26.P2.apr13;size=2;,DBLa0.5,4.5e-47
M00595:42:000000000-A5J1T:1:2111:23968:15271;sample=PMRS0181.MID15-15.P1.apr13;size=1;,DBLa0.8,2.2e-55
M00595:42:000000000-A5J1T:1:1110:9088:16195;sample=PMRS0320.MID23-25.P1.apr13;size=1;,DBLa0.9,4.7e-55
M00595:42:000000000-A5J1T:1:1113:9441:12149;sample=PMRS0129.MID10-11.P1.apr13;size=1;,DBLa0.10,1.3e-48
M00595:42:000000000-A5J1T:1:1104:21722:14134;sample=PMRS0476.MID31-33.P2.apr13;size=4;,DBLa0.8,2.4e-55
M00595:42:000000000-A5J1T:1:2113:15987:3850;sample=PMRS0377.MID25-26.P2.apr13;size=1;,DBLa0.11,1.8e-55
M00595:42:000000000-A5J1T:1:2116:21941:20795;sample=PMRS0377.MID25-26.P2.apr13;size=1;,DBLa0.1,1.6e-58
M00595:42:000000000-A5J1T:1:1103:14234:18451;sample=PMRS0279.MID21-22.P2.apr13;size=1;,DBLa0.1,2.8e-55
M00595:42:000000000-A5J1T:1:1101:15146:22422;sample=PMRS0191.MID15-18.P1.apr13;size=2;,DBLa0.3,1.5e-48
M00595:42:000000000-A5J1T:1:2111:4236:12475;sample=PMRS0431.MID29-29.P2.apr13;size=2;,DBLa0.24,5.1e-46
M00595:42:000000000-A5J1T:1:2102:19534:4789;sample=PMRS0431.MID29-29.P2.apr13;size=1;,DBLa0.15,8.2e-56
M00595:42:000000000-A5J1T:1:1116:20384:3615;sample=PMRS0302.MID22-24.P2.apr13;size=1;,DBLa0.11,2.6e-51
M00595:42:000000000-A5J1T:1:2115:7301:10371;sample=PMRS0223.MID18-18.P2.apr13;size=1;,DBLa0.9,4.2e-49
M00595:42:000000000-A5J1T:1:1107:19999:18589;sample=PMRS0357.MID25-25.P1.apr13;size=2;,DBLa1.8,2.1e-52
M00595:42:000000000-A5J1T:1:1106:23631:16024;sample=PMRS0541.MID34-36.P2.apr13;size=2;,DBLa0.1,3.4e-57
M00595:42:000000000-A5J1T:1:2108:7216:17390;sample=PMRS0100.MID07-08.P2.apr13;size=1;,DBLa0.3,3.7e-55
M00595:42:000000000-A5J1T:1:1113:16769:23352;sample=PMRS0089.MID06-08.P2.apr13;size=1;,DBLa0.3,3.7e-51
M00595:42:000000000-A5J1T:1:1105:6203:17275;sample=PMRS0389.MID26-27.P1.apr13;size=1;,DBLa0.11,1.9e-62
M00595:42:000000000-A5J1T:1:1104:19565:4114;sample=PMRS0423.MID28-28.P2.apr13;size=1;,DBLa0.11,5.8e-57
M00595:42:000000000-A5J1T:1:1116:8778:14710;sample=PMRS0345.MID24-24.P2.apr13;size=1;,DBLa0.23,4.7e-45
M00595:42:000000000-A5J1T:1:1109:18514:8494;sample=PMRS0431.MID29-29.P2.apr13;size=1;,DBLa0.10,4e-40
M00595:42:000000000-A5J1T:1:1114:16675:16767;sample=PMRS0081.MID06-06.P2.apr13;size=1;,DBLa0.11,1.3e-57
M00595:42:000000000-A5J1T:1:2112:21677:16559;sample=PMRS0403.MID27-27.P2.apr13;size=1;,DBLa0.8,6.5e-54
M00595:42:000000000-A5J1T:1:1110:11784:21928;sample=PMRS0429.MID28-30.P2.apr13;size=1;,DBLa0.3,2.1e-48
M00595:42:000000000-A5J1T:1:1107:23461:14619;sample=PMRS0143.MID11-11.P2.apr13;size=6;,DBLa1.8,6e-52
M00595:42:000000000-A5J1T:1:1112:22956:5125;sample=PMRS0169.MID14-14.P2.apr13;size=1;,DBLa0.1,4.9e-55
M00595:42:000000000-A5J1T:1:1113:8863:4988;sample=PMRS0050.MID04-04.P2.apr13;size=1;,DBLa0.5,5.6e-48
M00595:42:000000000-A5J1T:1:1116:11200:12708;sample=PMRS0431.MID29-29.P2.apr13;size=1;,DBLa0.1,2.7e-56
M00595:42:000000000-A5J1T:1:2111:28364:8390;sample=PMRS0323.MID23-25.P2.apr13;size=1;,DBLa0.6,1e-50
M00595:42:000000000-A5J1T:1:1105:18331:20087;sample=PMRS0169.MID14-14.P2.apr13;size=1;,DBLa0.5,3e-58
M00595:42:000000000-A5J1T:1:1101:10138:5122;sample=PMRS0497.MID33-33.P2.apr13;size=1;,DBLa1.4,3.6e-42
M00595:42:000000000-A5J1T:1:1116:20848:5045;sample=PMRS0345.MID24-24.P2.apr13;size=1;,DBLa0.24,9.3e-53
M00595:42:000000000-A5J1T:1:1108:10105:21362;sample=PMRS0223.MID18-18.P2.apr13;size=1;,DBLa0.18,1.5e-51
M00595:42:000000000-A5J1T:1:2112:19715:19185;sample=PMRS0181.MID15-15.P1.apr13;size=1;,DBLa0.12,1.6e-53
M00595:42:000000000-A5J1T:1:1113:19282:13008;sample=PMRS0346.MID24-25.P1.apr13;size=1;,DBLa0.1,2e-54
M00595:42:000000000-A5J1T:1:1114:24953:6855;sample=PMRS0386.MID26-26.P2.apr13;size=1;,DBLa0.8,1.2e-48
M00595:42:000000000-A5J1T:1:1104:23058:5548;sample=PMRS0089.MID06-08.P2.apr13;size=2;,DBLa0.24,3.6e-64
M00595:42:000000000-A5J1T:1:2110:8785:6374;sample=PMRS0223.MID18-18.P2.apr13;size=1;,DBLa1.8,5e-52
M00595:42:000000000-A5J1T:1:2112:21958:18195;sample=PMRS0471.MID31-32.P2.apr13;size=1;,DBLa0.19,3.8e-62
M00595:42:000000000-A5J1T:1:1108:12744:2036;sample=PMRS0223.MID18-18.P2.apr13;size=1;,DBLa0.1,3.1e-55
M00595:42:000000000-A5J1T:1:1107:6757:8363;sample=PMRS0486.MID32-33.P2.apr13;size=2;,DBLa0.8,3.4e-51
M00595:42:000000000-A5J1T:1:2118:15053:17124;sample=PMRS0279.MID21-22.P2.apr13;size=8;,DBLa1.8,4.3e-52
M00595:42:000000000-A5J1T:1:1107:5991:10308;sample=PMRS0345.MID24-24.P2.apr13;size=1;,DBLa0.19,2.8e-55
M00595:42:000000000-A5J1T:1:1105:24644:15453;sample=PMRS0357.MID25-25.P1.apr13;size=1;,DBLa0.8,5.9e-54
M00595:42:000000000-A5J1T:1:2105:19356:13450;sample=PMRS0471.MID31-32.P2.apr13;size=1;,DBLa0.11,1.2e-57
M00595:42:000000000-A5J1T:1:1108:8558:11085;sample=PMRS0412.MID27-29.P2.apr13;size=1;,DBLa0.12,4e-53
M00595:42:000000000-A5J1T:1:2119:17068:23620;sample=PMRS0379.MID25-27.P2.apr13;size=1;,DBLa0.2,2e-25
M00595:42:000000000-A5J1T:1:1105:22666:9836;sample=PMRS0373.MID25-26.P1.apr13;size=3;,DBLa0.1,1.6e-59
M00595:42:000000000-A5J1T:1:2108:13216:3656;sample=PMRS0423.MID28-28.P2.apr13;size=1;,DBLa0.4,2.7e-52
M00595:42:000000000-A5J1T:1:1112:13960:9543;sample=PMRS0378.MID25-27.P1.apr13;size=3;,DBLa0.5,3.2e-61
M00595:42:000000000-A5J1T:1:1110:6975:20850;sample=PMRS0436.MID29-30.P2.apr13;size=1;,DBLa0.1,1.7e-52
M00595:42:000000000-A5J1T:1:1104:16171:14742;sample=PMRS0223.MID18-18.P2.apr13;size=1;,DBLa0.15,1.8e-57
M00595:42:000000000-A5J1T:1:2117:12402:7062;sample=PMRS0302.MID22-24.P2.apr13;size=2;,DBLa0.23,4.9e-46
M00595:42:000000000-A5J1T:1:2114:19430:21756;sample=PMRS0065.MID04-06.P2.apr13;size=1;,DBLa0.10,7.1e-56
M00595:42:000000000-A5J1T:1:1109:17251:19153;sample=PMRS0484.MID32-32.P2.apr13;size=1;,DBLa0.12,2.3e-57
M00595:42:000000000-A5J1T:1:1110:10888:8323;sample=PMRS0412.MID27-29.P2.apr13;size=1;,DBLa0.9,1.2e-55
M00595:42:000000000-A5J1T:1:1102:22355:8247;sample=PMRS0357.MID25-25.P1.apr13;size=1;,DBLa0.23,1.1e-49
M00595:42:000000000-A5J1T:1:2112:4376:8724;sample=PMRS0532.MID34-35.P1.apr13;size=1;,DBLa0.1,1.2e-50
M00595:42:000000000-A5J1T:1:1105:19921:14079;sample=PMRS0403.MID27-27.P2.apr13;size=1;,DBLa0.19,3.1e-56
M00595:42:000000000-A5J1T:1:1116:7896:2076;sample=PMRS0045.MID03-05.P2.apr13;size=2;,DBLa1.2,1.3e-53
M00595:42:000000000-A5J1T:1:2118:17505:13666;sample=PMRS0181.MID15-15.P1.apr13;size=1;,DBLa0.11,3.9e-55
M00595:42:000000000-A5J1T:1:2117:15950:3727;sample=PMRS0497.MID33-33.P2.apr13;size=1;,DBLa0.24,3.5e-53
M00595:42:000000000-A5J1T:1:1104:17682:20305;sample=PMRS0181.MID15-15.P1.apr13;size=1;,DBLa0.9,1e-50
M00595:42:000000000-A5J1T:1:1104:9715:6183;sample=PMRS0404.MID27-28.P1.apr13;size=1;,DBLa0.9,7e-52
M00595:42:000000000-A5J1T:1:1107:4954:9625;sample=PMRS0541.MID34-36.P2.apr13;size=1;,DBLa0.8,1.4e-47
M00595:42:000000000-A5J1T:1:1102:11591:12867;sample=PMRS0377.MID25-26.P2.apr13;size=1;,DBLa0.3,1e-49
M00595:42:000000000-A5J1T:1:2113:13423:10394;sample=PMRS0254.MID20-21.P1.apr13;size=1;,DBLa0.14,2.2e-54
M00595:42:000000000-A5J1T:1:2112:21452:18895;sample=PMRS0223.MID18-18.P2.apr13;size=1;,DBLa0.8,2.1e-56
M00595:42:000000000-A5J1T:1:1102:16138:10519;sample=PMRS0541.MID34-36.P2.apr13;size=3;,DBLa2,2.5e-50
M00595:42:000000000-A5J1T:1:1108:24803:12229;sample=PMRS0386.MID26-26.P2.apr13;size=1;,DBLa0.3,4.7e-47
M00595:42:000000000-A5J1T:1:1109:23249:16282;sample=PMRS0486.MID32-33.P2.apr13;size=1;,DBLa0.4,1.3e-42
M00595:42:000000000-A5J1T:1:2117:7656:9851;sample=PMRS0236.MID19-19.P2.apr13;size=1;,DBLa0.11,1.1e-59
M00595:42:000000000-A5J1T:1:1110:16878:17160;sample=PMRS0262.MID20-22.P2.apr13;size=1;,DBLa0.1,5.9e-57
M00595:42:000000000-A5J1T:1:2106:14241:22658;sample=PMRS0206.MID16-18.P2.apr13;size=1;,DBLa0.1,5.7e-49
M00595:42:000000000-A5J1T:1:1111:16956:15705;sample=PMRS0301.MID22-24.P1.apr13;size=1;,DBLa0.21,2.1e-55
M00595:42:000000000-A5J1T:1:1110:17130:18340;sample=PMRS0113.MID08-11.P1.apr13;size=1;,DBLa0.7,5.6e-51
M00595:42:000000000-A5J1T:1:1109:12099:19209;sample=PMRS0423.MID28-28.P2.apr13;size=1;,DBLa0.6,7.5e-53
M00595:42:000000000-A5J1T:1:1109:9763:10767;sample=PMRS0279.MID21-22.P2.apr13;size=1;,DBLa0.7,4e-47
M00595:42:000000000-A5J1T:1:1112:6511:13631;sample=PMRS0469.MID31-32.P1.apr13;size=1;,DBLa0.1,9.2e-45
M00595:42:000000000-A5J1T:1:1110:7562:20837;sample=PMRS0444.MID30-30.P2.apr13;size=1;,DBLa0.12,1.2e-52
M00595:42:000000000-A5J1T:1:1105:17046:15368;sample=PMRS0194.MID16-16.P2.apr13;size=1;,DBLa0.5,1.2e-57
M00595:42:000000000-A5J1T:1:2108:19387:23292;sample=PMRS0431.MID29-29.P2.apr13;size=1;,DBLa0.9,1.4e-53
M00595:42:000000000-A5J1T:1:1102:9103:18341;sample=PMRS0449.MID30-31.P1.apr13;size=1;,DBLa0.1,3.8e-59
M00595:42:000000000-A5J1T:1:2119:19329:10875;sample=PMRS0050.MID04-04.P2.apr13;size=1;,DBLa0.8,5.7e-58
M00595:42:000000000-A5J1T:1:1116:5154:15156;sample=PMRS0502.MID33-34.P1.apr13;size=1;,DBLa0.23,6.6e-39
M00595:42:000000000-A5J1T:1:1112:23052:20117;sample=PMRS0236.MID19-19.P2.apr13;size=1;,DBLa0.6,4.7e-50
M00595:42:000000000-A5J1T:1:1116:13625:18115;sample=PMRS0389.MID26-27.P1.apr13;size=7;,DBLa1.4,3.2e-46
M00595:42:000000000-A5J1T:1:1109:5001:18206;sample=PMRS0169.MID14-14.P2.apr13;size=1;,DBLa0.8,2.7e-50
M00595:42:000000000-A5J1T:1:2109:13344:21196;sample=PMRS0194.MID16-16.P2.apr13;size=1;,DBLa1.8,1.1e-55
M00595:42:000000000-A5J1T:1:2105:16185:5780;sample=PMRS0457.MID31-31.P1.apr13;size=1;,DBLa0.11,3.3e-58
M00595:42:000000000-A5J1T:1:1114:24072:5641;sample=PMRS0113.MID08-11.P1.apr13;size=1;,DBLa0.11,8.7e-54
M00595:42:000000000-A5J1T:1:2105:3731:19556;sample=PMRS0506.MID33-35.P2.apr13;size=1;,DBLa0.6,5.7e-52
M00595:42:000000000-A5J1T:1:1110:21473:7847;sample=PMRS0045.MID03-05.P2.apr13;size=1;,DBLa0.9,3.4e-53
M00595:42:000000000-A5J1T:1:1108:13719:8866;sample=PMRS0373.MID25-26.P1.apr13;size=1;,DBLa0.4,2.2e-53
M00595:42:000000000-A5J1T:1:2101:16731:5160;sample=PMRS0379.MID25-27.P2.apr13;size=1;,DBLa0.24,1.1e-45
M00595:42:000000000-A5J1T:1:1119:13689:5403;sample=PMRS0018.MID02-03.P2.apr13;size=2;,DBLa0.1,4.8e-56
M00595:42:000000000-A5J1T:1:1112:26807:13557;sample=PMRS0444.MID30-30.P2.apr13;size=1;,DBLa0.19,1.7e-57
M00595:42:000000000-A5J1T:1:2101:7637:15161;sample=PMRS0377.MID25-26.P2.apr13;size=2;,DBLa0.8,1.1e-51
M00595:42:000000000-A5J1T:1:1103:9712:19073;sample=PMRS0236.MID19-19.P2.apr13;size=1;,DBLa0.23,2.5e-47
M00595:42:000000000-A5J1T:1:2111:14600:5052;sample=PMRS0167.MID13-15.P2.apr13;size=1;,DBLa0.11,2.7e-60
M00595:42:000000000-A5J1T:1:2112:5150:17040;sample=PMRS0541.MID34-36.P2.apr13;size=2;,DBLa0.5,1.1e-57
M00595:42:000000000-A5J1T:1:1116:24585:16908;sample=PMRS0412.MID27-29.P2.apr13;size=1;,DBLa0.1,8.3e-58
M00595:42:000000000-A5J1T:1:1108:22905:11247;sample=PMRS0497.MID33-33.P2.apr13;size=1;,DBLa0.14,5.3e-43
M00595:42:000000000-A5J1T:1:2110:14206:18863;sample=PMRS0254.MID20-21.P1.apr13;size=1;,DBLa0.17,1.9e-50
M00595:42:000000000-A5J1T:1:1114:8783:14822;sample=PMRS0389.MID26-27.P1.apr13;size=1;,DBLa0.3,2.1e-48
M00595:42:000000000-A5J1T:1:2110:28075:11418;sample=PMRS0403.MID27-27.P2.apr13;size=1;,DBLa0.9,2.6e-52
M00595:42:000000000-A5J1T:1:1108:11520:10099;sample=PMRS0079.MID05-07.P2.apr13;size=1;,DBLa0.8,1.1e-51
M00595:42:000000000-A5J1T:1:1116:19254:13641;sample=PMRS0552.MID35-36.P1.apr13;size=2;,DBLa1.8,5.8e-55
M00595:42:000000000-A5J1T:1:2102:15065:15403;sample=PMRS0064.MID04-06.P1.apr13;size=1;,DBLa0.8,1.6e-53
M00595:42:000000000-A5J1T:1:1115:19411:13916;sample=PMRS0081.MID06-06.P2.apr13;size=1;,DBLa0.6,4.5e-54
M00595:42:000000000-A5J1T:1:1114:23469:17132;sample=PMRS0081.MID06-06.P2.apr13;size=1;,DBLa0.1,4.1e-53
M00595:42:000000000-A5J1T:1:1110:22626:5061;sample=PMRS0354.MID24-26.P2.apr13;size=2;,DBLa0.1,2.1e-51
M00595:42:000000000-A5J1T:1:2111:19778:20362;sample=PMRS0079.MID05-07.P2.apr13;size=1;,DBLa0.8,5.7e-54
M00595:42:000000000-A5J1T:1:2105:15638:8587;sample=PMRS0037.MID03-04.P1.apr13;size=2;,DBLa1.8,5.1e-51
M00595:42:000000000-A5J1T:1:2116:18248:13522;sample=PMRS0377.MID25-26.P2.apr13;size=1;,DBLa0.1,1.2e-48
M00595:42:000000000-A5J1T:1:2112:17547:5146;sample=PMRS0045.MID03-05.P2.apr13;size=2;,DBLa0.5,1.5e-57
M00595:42:000000000-A5J1T:1:1116:12778:13564;sample=PMRS0404.MID27-28.P1.apr13;size=1;,DBLa0.5,9.4e-50
M00595:42:000000000-A5J1T:1:2112:20053:5959;sample=PMRS0293.MID22-22.P2.apr13;size=1;,DBLa0.5,1.2e-59
M00595:42:000000000-A5J1T:1:2117:26020:15933;sample=PMRS0423.MID28-28.P2.apr13;size=1;,DBLa0.5,2.1e-42
M00595:42:000000000-A5J1T:1:1106:20373:17785;sample=PMRS0403.MID27-27.P2.apr13;size=1;,DBLa0.5,1.1e-58
M00595:42:000000000-A5J1T:1:2109:22178:10219;sample=PMRS0457.MID31-31.P1.apr13;size=1;,DBLa0.1,2.3e-56
M00595:42:000000000-A5J1T:1:2119:25985:12708;sample=PMRS0031.MID03-03.P1.apr13;size=1;,DBLa0.1,1.1e-54
M00595:42:000000000-A5J1T:1:1106:18480:18013;sample=PMRS0429.MID28-30.P2.apr13;size=1;,DBLa0.11,1.7e-54
M00595:42:000000000-A5J1T:1:1108:19214:18739;sample=PMRS0258.MID20-22.P1.apr13;size=1;,DBLa0.21,2.5e-55
M00595:42:000000000-A5J1T:1:1111:16625:8578;sample=PMRS0050.MID04-04.P2.apr13;size=1;,DBLa0.18,4.2e-51
M00595:42:000000000-A5J1T:1:1117:18593:9248;sample=PMRS0506.MID33-35.P2.apr13;size=1;,DBLa0.8,2.4e-53
M00595:42:000000000-A5J1T:1:2116:11607:15805;sample=PMRS0181.MID15-15.P1.apr13;size=1;,DBLa0.1,1.4e-56
M00595:42:000000000-A5J1T:1:2118:12249:5177;sample=PMRS0521.MID34-34.P2.apr13;size=2;,DBLa0.18,4.4e-45
M00595:42:000000000-A5J1T:1:2117:21981:20261;sample=PMRS0081.MID06-06.P2.apr13;size=1;,DBLa0.8,3e-53
M00595:42:000000000-A5J1T:1:1111:19170:9653;sample=PMRS0294.MID22-23.P1.apr13;size=1;,DBLa0.23,2.1e-43
M00595:42:000000000-A5J1T:1:1115:25743:16686;sample=PMRS0404.MID27-28.P1.apr13;size=1;,DBLa0.14,1.1e-54
M00595:42:000000000-A5J1T:1:1119:16932:12762;sample=PMRS0431.MID29-29.P2.apr13;size=4;,DBLa0.1,1.9e-56
M00595:42:000000000-A5J1T:1:1105:16799:18458;sample=PMRS0181.MID15-15.P1.apr13;size=2;,DBLa0.23,1.1e-50
M00595:42:000000000-A5J1T:1:1118:11861:20367;sample=PMRS0194.MID16-16.P2.apr13;size=1;,DBLa0.15,1.5e-54
M00595:42:000000000-A5J1T:1:1104:17659:8414;sample=PMRS0426.MID28-29.P2.apr13;size=1;,DBLa1.8,3.3e-56
M00595:42:000000000-A5J1T:1:2109:18362:14957;sample=PMRS0497.MID33-33.P2.apr13;size=1;,DBLa0.12,7e-52
M00595:42:000000000-A5J1T:1:1108:19022:23365;sample=PMRS0405.MID27-28.P2.apr13;size=1;,DBLa0.5,4.6e-59
M00595:42:000000000-A5J1T:1:2117:22329:20857;sample=PMRS0378.MID25-27.P1.apr13;size=1;,DBLa0.11,1.9e-49
M00595:42:000000000-A5J1T:1:1114:24049:13255;sample=PMRS0138.MID10-13.P2.apr13;size=3;,DBLa1.2,1.9e-53
M00595:42:000000000-A5J1T:1:2114:15161:8201;sample=PMRS0231.MID18-20.P2.apr13;size=1;,DBLa0.1,8.3e-59
M00595:42:000000000-A5J1T:1:2110:21319:8259;sample=PMRS0486.MID32-33.P2.apr13;size=1;,DBLa0.8,5.2e-52
M00595:42:000000000-A5J1T:1:2117:13029:17250;sample=PMRS0223.MID18-18.P2.apr13;size=2;,DBLa0.18,4.2e-54
M00595:42:000000000-A5J1T:1:1119:8917:8025;sample=PMRS0323.MID23-25.P2.apr13;size=1;,DBLa0.8,1.4e-52
M00595:42:000000000-A5J1T:1:1113:6467:10348;sample=PMRS0540.MID34-36.P1.apr13;size=2;,DBLa0.9,1.8e-56
M00595:42:000000000-A5J1T:1:1103:24285:14147;sample=PMRS0412.MID27-29.P2.apr13;size=1;,DBLa0.5,7.1e-57
M00595:42:000000000-A5J1T:1:2110:23108:9751;sample=PMRS0279.MID21-22.P2.apr13;size=1;,DBLa0.24,1.6e-44
M00595:42:000000000-A5J1T:1:1118:7596:21139;sample=PMRS0497.MID33-33.P2.apr13;size=2;,DBLa0.3,9.8e-48
M00595:42:000000000-A5J1T:1:1117:20805:16544;sample=PMRS0377.MID25-26.P2.apr13;size=2;,DBLa0.19,3.1e-52
M00595:42:000000000-A5J1T:1:2116:12745:14089;sample=PMRS0258.MID20-22.P1.apr13;size=1;,DBLa0.7,6.8e-43
M00595:42:000000000-A5J1T:1:2116:11444:12451;sample=PMRS0279.MID21-22.P2.apr13;size=1;,DBLa0.8,7.2e-49
M00595:42:000000000-A5J1T:1:2113:13162:3997;sample=PMRS0064.MID04-06.P1.apr13;size=2;,DBLa0.12,4.3e-51
M00595:42:000000000-A5J1T:1:2118:28921:11198;sample=PMRS0191.MID15-18.P1.apr13;size=2;,DBLa1.2,9.5e-54
M00595:42:000000000-A5J1T:1:2101:15744:12431;sample=PMRS0194.MID16-16.P2.apr13;size=1;,DBLa0.1,4.4e-44
M00595:42:000000000-A5J1T:1:1109:24835:18707;sample=PMRS0423.MID28-28.P2.apr13;size=1;,DBLa0.15,5.1e-53
M00595:42:000000000-A5J1T:1:1119:16076:23426;sample=PMRS0429.MID28-30.P2.apr13;size=16;,DBLa0.10,5.3e-56
M00595:42:000000000-A5J1T:1:1114:20982:15098;sample=PMRS0502.MID33-34.P1.apr13;size=1;,DBLa0.1,9.6e-55
M00595:42:000000000-A5J1T:1:2104:25698:16551;sample=PMRS0050.MID04-04.P2.apr13;size=1;,DBLa0.1,6.6e-57
M00595:42:000000000-A5J1T:1:1117:19538:14086;sample=PMRS0378.MID25-27.P1.apr13;size=1;,DBLa0.5,1.8e-54
M00595:42:000000000-A5J1T:1:2109:16608:10059;sample=PMRS0226.MID18-19.P2.apr13;size=1;,DBLa0.8,2.1e-53
