"otu","num_isolates","domain","e-value","type"
"M00595:42:000000000-A5J1T:1:1109:28096:17286",2,"DBLa1.8",2.2e-56,"A"
"M00595:42:000000000-A5J1T:1:1109:3213:10545",3,"DBLa0.19",1.2e-55,"B/C"
"M00595:42:000000000-A5J1T:1:1109:4513:9101",4,"DBLa1.8",1.9e-56,"A"
"M00595:42:000000000-A5J1T:1:1109:4750:12686",2,"DBLa0.17",1.6e-45,"B/C"
"M00595:42:000000000-A5J1T:1:1109:5237:15134",4,"DBLa0.11",6.1e-56,"B/C"
"M00595:42:000000000-A5J1T:1:1109:5797:11907",3,"DBLa1.8",3.6e-56,"A"
"M00595:42:000000000-A5J1T:1:1109:6917:11933",3,"DBLa2",1.4e-49,"B/C"
"M00595:42:000000000-A5J1T:1:1109:6950:11650",4,"DBLa0.19",3e-56,"B/C"
"M00595:42:000000000-A5J1T:1:1109:6988:5948",2,"DBLa0.8",4.4e-55,"B/C"
"M00595:42:000000000-A5J1T:1:1109:7096:9409",6,"DBLa0.15",1.2e-54,"B/C"
"M00595:42:000000000-A5J1T:1:1109:7252:7391",2,"DBLa0.9",1e-49,"B/C"
"M00595:42:000000000-A5J1T:1:1109:7293:16585",4,"DBLa0.1",2.4e-59,"B/C"
"M00595:42:000000000-A5J1T:1:1109:7468:12751",6,"DBLa0.5",3.7e-49,"B/C"
"M00595:42:000000000-A5J1T:1:1109:7519:8953",2,"DBLa0.2",6.3e-50,"B/C"
"M00595:42:000000000-A5J1T:1:1109:7707:16115",2,"DBLa0.24",5e-44,"B/C"
"M00595:42:000000000-A5J1T:1:1109:7814:9162",2,"DBLa0.5",4.7e-46,"B/C"
"M00595:42:000000000-A5J1T:1:1109:8324:16778",2,"DBLa0.8",4.7e-53,"B/C"
"M00595:42:000000000-A5J1T:1:1109:8690:8573",7,"DBLa0.18",3.6e-46,"B/C"
"M00595:42:000000000-A5J1T:1:1109:8699:10919",2,"DBLa0.8",2.2e-48,"B/C"
"M00595:42:000000000-A5J1T:1:1109:8793:5614",2,"DBLa0.1",3.6e-57,"B/C"
"M00595:42:000000000-A5J1T:1:1109:8979:9998",3,"DBLa0.12",2.4e-49,"B/C"
"M00595:42:000000000-A5J1T:1:1109:9089:5994",3,"DBLa0.1",6e-56,"B/C"
"M00595:42:000000000-A5J1T:1:1109:9484:20350",10,"DBLa1.4",3.3e-48,"A"
"M00595:42:000000000-A5J1T:1:1109:9687:20503",2,"DBLa0.22",2.5e-52,"B/C"
"M00595:42:000000000-A5J1T:1:1109:9889:13144",6,"DBLa0.1",2.6e-55,"B/C"
"M00595:42:000000000-A5J1T:1:1110:10078:5241",3,"DBLa0.1",9.5e-57,"B/C"
"M00595:42:000000000-A5J1T:1:1110:10158:10139",2,"DBLa0.7",3.5e-46,"B/C"
"M00595:42:000000000-A5J1T:1:1110:10212:20012",5,"DBLa0.8",1.6e-54,"B/C"
"M00595:42:000000000-A5J1T:1:1110:10232:14131",2,"DBLa0.11",2.8e-54,"B/C"
"M00595:42:000000000-A5J1T:1:1110:10296:10784",2,"DBLa0.1",1e-53,"B/C"
"M00595:42:000000000-A5J1T:1:1110:10346:15388",2,"DBLa0.12",1.4e-42,"B/C"
"M00595:42:000000000-A5J1T:1:1110:10495:10198",2,"DBLa0.1",8.9e-58,"B/C"
"M00595:42:000000000-A5J1T:1:1110:10505:5679",2,"DBLa0.4",1.8e-47,"B/C"
"M00595:42:000000000-A5J1T:1:1110:10567:9407",5,"DBLa0.5",1.2e-55,"B/C"
"M00595:42:000000000-A5J1T:1:1110:10888:8323",3,"DBLa0.9",1.2e-55,"B/C"
"M00595:42:000000000-A5J1T:1:1110:10952:21558",4,"DBLa1.8",2.4e-56,"A"
"M00595:42:000000000-A5J1T:1:1110:10990:9159",2,"DBLa0.24",1.3e-47,"B/C"
"M00595:42:000000000-A5J1T:1:1110:11047:16308",5,"DBLa0.1",1.3e-59,"B/C"
"M00595:42:000000000-A5J1T:1:1110:11140:22249",3,"DBLa0.13",5.9e-57,"B/C"
"M00595:42:000000000-A5J1T:1:1110:11145:18290",2,"DBLa0.9",9e-50,"B/C"
"M00595:42:000000000-A5J1T:1:1110:11146:18245",4,"DBLa0.6",8.6e-52,"B/C"
"M00595:42:000000000-A5J1T:1:1110:11169:15255",6,"DBLa0.9",1.1e-48,"B/C"
"M00595:42:000000000-A5J1T:1:1110:11237:15612",2,"DBLa0.21",2.4e-58,"B/C"
"M00595:42:000000000-A5J1T:1:1110:11309:6377",2,"DBLa1.8",7.9e-53,"A"
"M00595:42:000000000-A5J1T:1:1110:11435:17072",2,"DBLa0.1",5.9e-46,"B/C"
"M00595:42:000000000-A5J1T:1:1110:11469:5734",2,"DBLa0.19",4.2e-53,"B/C"
"M00595:42:000000000-A5J1T:1:1110:11500:19326",2,"DBLa0.8",3.2e-49,"B/C"
"M00595:42:000000000-A5J1T:1:1110:11687:17258",4,"DBLa0.8",4.5e-56,"B/C"
"M00595:42:000000000-A5J1T:1:1110:11840:8334",3,"DBLa0.11",1.4e-57,"B/C"
"M00595:42:000000000-A5J1T:1:1110:11991:12320",7,"DBLa0.8",3.1e-51,"B/C"
"M00595:42:000000000-A5J1T:1:1110:12027:12522",2,"DBLa0.7",9e-42,"B/C"
"M00595:42:000000000-A5J1T:1:1110:12138:13819",2,"DBLa0.3",1.4e-47,"B/C"
"M00595:42:000000000-A5J1T:1:1110:12317:15850",11,"DBLa0.3",9.5e-50,"B/C"
"M00595:42:000000000-A5J1T:1:1110:12341:8464",3,"DBLa0.15",1e-57,"B/C"
"M00595:42:000000000-A5J1T:1:1110:12473:7559",2,"DBLa0.9",1.9e-52,"B/C"
"M00595:42:000000000-A5J1T:1:1110:12488:19861",2,"DBLa1.1",4.5e-51,"A"
"M00595:42:000000000-A5J1T:1:1110:12893:9306",3,"DBLa0.8",2.1e-53,"B/C"
"M00595:42:000000000-A5J1T:1:1110:12913:14057",2,"DBLa0.1",4.1e-56,"B/C"
"M00595:42:000000000-A5J1T:1:1110:13151:12541",3,"DBLa0.23",1e-43,"B/C"
"M00595:42:000000000-A5J1T:1:1110:13280:5431",3,"DBLa0.9",4e-51,"B/C"
"M00595:42:000000000-A5J1T:1:1110:13471:19468",2,"DBLa0.17",1e-48,"B/C"
"M00595:42:000000000-A5J1T:1:1110:13517:24400",4,"DBLa0.17",2.1e-57,"B/C"
"M00595:42:000000000-A5J1T:1:1110:13656:14750",2,"DBLa0.8",9.1e-54,"B/C"
"M00595:42:000000000-A5J1T:1:1110:13689:18535",2,"DBLa0.8",2.5e-50,"B/C"
"M00595:42:000000000-A5J1T:1:1110:13788:9643",2,"DBLa0.18",2.6e-41,"B/C"
"M00595:42:000000000-A5J1T:1:1110:13869:12681",2,"DBLa0.9",1.3e-48,"B/C"
"M00595:42:000000000-A5J1T:1:1110:13909:19391",2,"DBLa1.4",2.1e-43,"A"
"M00595:42:000000000-A5J1T:1:1110:13969:11065",3,"DBLa0.8",7.3e-54,"B/C"
"M00595:42:000000000-A5J1T:1:1110:13987:7741",3,"DBLa0.15",8.1e-54,"B/C"
"M00595:42:000000000-A5J1T:1:1110:14042:9759",3,"DBLa0.1",1.4e-58,"B/C"
"M00595:42:000000000-A5J1T:1:1110:14048:10690",2,"DBLa0.1",1.8e-60,"B/C"
"M00595:42:000000000-A5J1T:1:1110:14212:6656",5,"DBLa0.8",1.8e-53,"B/C"
"M00595:42:000000000-A5J1T:1:1110:14236:8784",2,"DBLa0.3",4.6e-50,"B/C"
"M00595:42:000000000-A5J1T:1:1110:14248:3231",3,"DBLa0.8",5.6e-55,"B/C"
"M00595:42:000000000-A5J1T:1:1110:14674:5600",2,"DBLa0.23",4.6e-44,"B/C"
"M00595:42:000000000-A5J1T:1:1110:14696:1936",2,"DBLa0.8",1.1e-51,"B/C"
"M00595:42:000000000-A5J1T:1:1110:14714:20650",3,"DBLa0.9",3.1e-51,"B/C"
"M00595:42:000000000-A5J1T:1:1110:14748:12129",3,"DBLa1.8",3.6e-55,"A"
"M00595:42:000000000-A5J1T:1:1110:14941:5403",2,"DBLa0.12",1.1e-53,"B/C"
"M00595:42:000000000-A5J1T:1:1110:15128:4749",5,"DBLa0.8",9.9e-54,"B/C"
"M00595:42:000000000-A5J1T:1:1110:15155:7589",3,"DBLa1.2",5e-52,"A"
"M00595:42:000000000-A5J1T:1:1110:15184:10668",4,"DBLa0.10",6.6e-52,"B/C"
"M00595:42:000000000-A5J1T:1:1110:15316:20017",5,"DBLa0.3",1.3e-45,"B/C"
"M00595:42:000000000-A5J1T:1:1110:15451:14092",2,"DBLa0.1",3.8e-60,"B/C"
"M00595:42:000000000-A5J1T:1:1110:15497:5469",2,"DBLa0.24",9.7e-42,"B/C"
"M00595:42:000000000-A5J1T:1:1110:15524:16903",3,"DBLa0.1",4.1e-50,"B/C"
"M00595:42:000000000-A5J1T:1:1110:15544:17724",4,"DBLa0.17",1e-48,"B/C"
"M00595:42:000000000-A5J1T:1:1110:15927:12711",10,"DBLa0.1",1.8e-58,"B/C"
"M00595:42:000000000-A5J1T:1:1110:16079:18400",2,"DBLa0.5",9.5e-54,"B/C"
"M00595:42:000000000-A5J1T:1:1110:16408:22017",3,"DBLa0.8",1.2e-45,"B/C"
"M00595:42:000000000-A5J1T:1:1110:16425:13561",4,"DBLa0.24",2.5e-46,"B/C"
"M00595:42:000000000-A5J1T:1:1110:16600:4741",3,"DBLa0.11",1e-57,"B/C"
"M00595:42:000000000-A5J1T:1:1110:16637:11169",3,"DBLa0.11",1.5e-52,"B/C"
"M00595:42:000000000-A5J1T:1:1110:16715:19419",2,"DBLa0.8",4.9e-57,"B/C"
"M00595:42:000000000-A5J1T:1:1110:16715:4797",2,"DBLa0.19",3.5e-60,"B/C"
"M00595:42:000000000-A5J1T:1:1110:16745:12496",3,"DBLa0.22",1.6e-57,"B/C"
"M00595:42:000000000-A5J1T:1:1110:16811:18035",2,"DBLa0.9",4.8e-50,"B/C"
"M00595:42:000000000-A5J1T:1:1110:16848:13506",2,"DBLa0.22",1.7e-50,"B/C"
"M00595:42:000000000-A5J1T:1:1110:16895:20248",2,"DBLa0.1",9.8e-53,"B/C"
"M00595:42:000000000-A5J1T:1:1110:16996:9424",4,"DBLa0.12",4.1e-54,"B/C"
"M00595:42:000000000-A5J1T:1:1110:17090:11655",2,"DBLa0.17",2.5e-55,"B/C"
"M00595:42:000000000-A5J1T:1:1110:17272:13244",2,"DBLa0.1",9.9e-59,"B/C"
"M00595:42:000000000-A5J1T:1:1110:17334:15793",13,"DBLa0.8",8.3e-54,"B/C"
"M00595:42:000000000-A5J1T:1:1110:17501:6082",2,"DBLa0.8",2.6e-54,"B/C"
"M00595:42:000000000-A5J1T:1:1110:17666:22275",18,"DBLa0.10",9.5e-48,"B/C"
"M00595:42:000000000-A5J1T:1:1110:17742:4206",3,"DBLa0.9",1.6e-51,"B/C"
"M00595:42:000000000-A5J1T:1:1110:17744:4536",2,"DBLa0.8",9.8e-54,"B/C"
"M00595:42:000000000-A5J1T:1:1110:17948:21622",6,"DBLa0.23",6.5e-43,"B/C"
"M00595:42:000000000-A5J1T:1:1110:17972:16284",3,"DBLa1.8",6.7e-52,"A"
"M00595:42:000000000-A5J1T:1:1110:17982:9498",13,"DBLa0.4",7.3e-55,"B/C"
"M00595:42:000000000-A5J1T:1:1110:17988:4964",2,"DBLa0.7",1e-45,"B/C"
"M00595:42:000000000-A5J1T:1:1110:18016:17490",4,"DBLa0.1",2e-60,"B/C"
"M00595:42:000000000-A5J1T:1:1110:18110:18848",5,"DBLa0.6",1.6e-51,"B/C"
"M00595:42:000000000-A5J1T:1:1110:18110:7042",4,"DBLa0.23",2e-47,"B/C"
"M00595:42:000000000-A5J1T:1:1110:18180:22423",3,"DBLa0.9",6.2e-54,"B/C"
"M00595:42:000000000-A5J1T:1:1110:18246:12922",2,"DBLa0.1",7.6e-55,"B/C"
"M00595:42:000000000-A5J1T:1:1110:18258:18245",5,"DBLa0.23",2.9e-43,"B/C"
"M00595:42:000000000-A5J1T:1:1110:18491:13491",2,"DBLa0.10",3.1e-53,"B/C"
"M00595:42:000000000-A5J1T:1:1110:18501:3398",3,"DBLa1.2",3.2e-55,"A"
"M00595:42:000000000-A5J1T:1:1110:18514:12241",2,"DBLa0.1",3.9e-56,"B/C"
"M00595:42:000000000-A5J1T:1:1110:18592:12330",2,"DBLa0.1",3.4e-50,"B/C"
"M00595:42:000000000-A5J1T:1:1110:18601:13290",3,"DBLa0.1",2.5e-61,"B/C"
"M00595:42:000000000-A5J1T:1:1110:18603:6866",4,"DBLa1.8",1.9e-52,"A"
"M00595:42:000000000-A5J1T:1:1110:18652:13920",2,"DBLa1.4",1.1e-45,"A"
"M00595:42:000000000-A5J1T:1:1110:18691:12018",2,"DBLa0.15",9.9e-58,"B/C"
"M00595:42:000000000-A5J1T:1:1110:18981:13072",2,"DBLa0.17",1.4e-55,"B/C"
"M00595:42:000000000-A5J1T:1:1110:19015:7076",2,"DBLa0.1",1.1e-59,"B/C"
"M00595:42:000000000-A5J1T:1:1110:19046:4066",2,"DBLa0.8",2.5e-56,"B/C"
"M00595:42:000000000-A5J1T:1:1110:19051:17908",2,"DBLa0.11",1.8e-51,"B/C"
"M00595:42:000000000-A5J1T:1:1110:19115:11517",3,"DBLa0.1",1.6e-55,"B/C"
"M00595:42:000000000-A5J1T:1:1110:19351:3806",2,"DBLa0.11",5e-50,"B/C"
"M00595:42:000000000-A5J1T:1:1110:19523:15170",2,"DBLa0.1",6e-57,"B/C"
"M00595:42:000000000-A5J1T:1:1110:19706:11072",13,"DBLa1.2",3.2e-55,"A"
"M00595:42:000000000-A5J1T:1:1110:19766:7202",2,"DBLa0.5",5.8e-52,"B/C"
"M00595:42:000000000-A5J1T:1:1110:20303:7520",3,"DBLa0.3",4e-46,"B/C"
"M00595:42:000000000-A5J1T:1:1110:20310:6039",3,"DBLa0.9",2.4e-49,"B/C"
"M00595:42:000000000-A5J1T:1:1110:20485:8608",4,"DBLa0.19",4.3e-55,"B/C"
"M00595:42:000000000-A5J1T:1:1110:20504:20455",2,"DBLa0.12",4.4e-57,"B/C"
"M00595:42:000000000-A5J1T:1:1110:20556:15620",3,"DBLa0.12",2.4e-51,"B/C"
"M00595:42:000000000-A5J1T:1:1110:20581:1805",3,"DBLa0.18",1.4e-50,"B/C"
"M00595:42:000000000-A5J1T:1:1110:20660:23255",3,"DBLa0.8",3.5e-52,"B/C"
"M00595:42:000000000-A5J1T:1:1110:20680:2773",2,"DBLa0.6",4.6e-48,"B/C"
"M00595:42:000000000-A5J1T:1:1110:20725:17367",2,"DBLa0.5",8.8e-49,"B/C"
"M00595:42:000000000-A5J1T:1:1110:20940:14319",2,"DBLa0.11",8.6e-59,"B/C"
"M00595:42:000000000-A5J1T:1:1110:20970:10388",3,"DBLa0.8",2.2e-54,"B/C"
"M00595:42:000000000-A5J1T:1:1110:21030:17769",9,"DBLa0.3",2.7e-43,"B/C"
"M00595:42:000000000-A5J1T:1:1110:21156:8646",2,"DBLa0.8",4.7e-52,"B/C"
"M00595:42:000000000-A5J1T:1:1110:21340:20343",8,"DBLa0.7",4.7e-43,"B/C"
"M00595:42:000000000-A5J1T:1:1110:21348:17342",2,"DBLa0.11",2.8e-54,"B/C"
"M00595:42:000000000-A5J1T:1:1110:21397:8067",3,"DBLa0.20",5.6e-48,"B/C"
"M00595:42:000000000-A5J1T:1:1110:21415:6458",2,"DBLa0.1",3.5e-63,"B/C"
"M00595:42:000000000-A5J1T:1:1110:21418:17748",4,"DBLa0.5",1.4e-57,"B/C"
"M00595:42:000000000-A5J1T:1:1110:21473:7847",2,"DBLa0.9",3.4e-53,"B/C"
"M00595:42:000000000-A5J1T:1:1110:21593:14971",4,"DBLa0.1",2.3e-59,"B/C"
"M00595:42:000000000-A5J1T:1:1110:21622:16943",3,"DBLa0.1",2.7e-51,"B/C"
"M00595:42:000000000-A5J1T:1:1110:21743:11355",3,"DBLa0.12",2.8e-57,"B/C"
"M00595:42:000000000-A5J1T:1:1110:21756:3281",8,"DBLa0.24",3e-46,"B/C"
"M00595:42:000000000-A5J1T:1:1110:21875:14926",2,"DBLa0.12",4.6e-58,"B/C"
"M00595:42:000000000-A5J1T:1:1110:21921:21007",3,"DBLa0.17",9.2e-53,"B/C"
"M00595:42:000000000-A5J1T:1:1110:22299:23355",5,"DBLa0.11",4.5e-56,"B/C"
"M00595:42:000000000-A5J1T:1:1110:22515:21303",4,"DBLa0.23",3.8e-46,"B/C"
"M00595:42:000000000-A5J1T:1:1110:22619:9635",8,"DBLa0.23",1.3e-43,"B/C"
"M00595:42:000000000-A5J1T:1:1110:22626:5061",2,"DBLa0.1",2.1e-51,"B/C"
"M00595:42:000000000-A5J1T:1:1110:22655:4980",4,"DBLa0.11",7.8e-57,"B/C"
"M00595:42:000000000-A5J1T:1:1110:22683:19504",5,"DBLa0.12",2.3e-56,"B/C"
"M00595:42:000000000-A5J1T:1:1110:22726:5574",3,"DBLa0.15",4.1e-53,"B/C"
"M00595:42:000000000-A5J1T:1:1110:23000:18969",2,"DBLa0.8",1.1e-53,"B/C"
"M00595:42:000000000-A5J1T:1:1110:23061:16487",5,"DBLa0.1",1.6e-56,"B/C"
"M00595:42:000000000-A5J1T:1:1110:23174:13995",4,"DBLa0.11",5e-55,"B/C"
"M00595:42:000000000-A5J1T:1:1110:23287:6868",3,"DBLa0.23",1.2e-42,"B/C"
"M00595:42:000000000-A5J1T:1:1110:23416:17949",7,"DBLa0.8",3e-49,"B/C"
"M00595:42:000000000-A5J1T:1:1110:23764:7393",2,"DBLa0.18",5.8e-49,"B/C"
"M00595:42:000000000-A5J1T:1:1110:23835:21963",2,"DBLa1.2",2.3e-52,"A"
"M00595:42:000000000-A5J1T:1:1110:23895:11962",2,"DBLa0.11",2.4e-53,"B/C"
"M00595:42:000000000-A5J1T:1:1110:23924:17917",3,"DBLa0.1",2.1e-49,"B/C"
"M00595:42:000000000-A5J1T:1:1110:23964:13000",2,"DBLa0.4",4.7e-53,"B/C"
"M00595:42:000000000-A5J1T:1:1110:24022:12158",4,"DBLa0.5",1e-48,"B/C"
"M00595:42:000000000-A5J1T:1:1110:24025:21144",7,"DBLa1.5",1.1e-53,"A"
"M00595:42:000000000-A5J1T:1:1110:24026:6492",23,"DBLa0.3",5.2e-50,"B/C"
"M00595:42:000000000-A5J1T:1:1110:24044:16772",2,"DBLa0.3",5.1e-49,"B/C"
"M00595:42:000000000-A5J1T:1:1110:24059:6402",2,"DBLa0.19",4.9e-54,"B/C"
"M00595:42:000000000-A5J1T:1:1110:24169:12614",2,"DBLa0.23",5.2e-45,"B/C"
"M00595:42:000000000-A5J1T:1:1110:24331:5020",2,"DBLa1.8",7.8e-56,"A"
"M00595:42:000000000-A5J1T:1:1110:24339:17228",3,"DBLa0.15",6e-55,"B/C"
"M00595:42:000000000-A5J1T:1:1110:24425:7707",3,"DBLa0.21",7.3e-60,"B/C"
"M00595:42:000000000-A5J1T:1:1110:24476:11757",2,"DBLa0.11",1.4e-55,"B/C"
"M00595:42:000000000-A5J1T:1:1110:24477:19843",4,"DBLa0.5",1.5e-54,"B/C"
"M00595:42:000000000-A5J1T:1:1110:24572:10871",2,"DBLa0.8",2e-55,"B/C"
"M00595:42:000000000-A5J1T:1:1110:24839:5674",5,"DBLa0.12",9.7e-56,"B/C"
"M00595:42:000000000-A5J1T:1:1110:25128:17691",7,"DBLa0.19",2.4e-58,"B/C"
"M00595:42:000000000-A5J1T:1:1110:25139:8306",2,"DBLa0.1",3.8e-48,"B/C"
"M00595:42:000000000-A5J1T:1:1110:25414:18474",4,"DBLa0.4",5e-48,"B/C"
"M00595:42:000000000-A5J1T:1:1110:25497:8244",2,"DBLa1.8",2.9e-56,"A"
"M00595:42:000000000-A5J1T:1:1110:25950:5673",4,"DBLa1.7",6.6e-53,"A"
"M00595:42:000000000-A5J1T:1:1110:26193:12608",9,"DBLa1.6",2.4e-50,"A"
"M00595:42:000000000-A5J1T:1:1110:26354:12958",2,"DBLa0.1",3.7e-56,"B/C"
"M00595:42:000000000-A5J1T:1:1110:27004:12842",2,"DBLa0.11",4.7e-52,"B/C"
"M00595:42:000000000-A5J1T:1:1110:27331:11933",2,"DBLa0.9",2.5e-46,"B/C"
"M00595:42:000000000-A5J1T:1:1110:27945:7631",2,"DBLa0.1",2.3e-60,"B/C"
"M00595:42:000000000-A5J1T:1:1110:28319:12342",5,"DBLa0.4",1.8e-43,"B/C"
"M00595:42:000000000-A5J1T:1:1110:3428:10117",11,"DBLa1.2",1e-47,"A"
"M00595:42:000000000-A5J1T:1:1110:4070:9714",2,"DBLa0.9",9.7e-54,"B/C"
"M00595:42:000000000-A5J1T:1:1110:4704:18270",2,"DBLa0.23",1.2e-43,"B/C"
"M00595:42:000000000-A5J1T:1:1110:5012:9058",4,"DBLa0.21",7.6e-54,"B/C"
"M00595:42:000000000-A5J1T:1:1110:5068:17830",2,"DBLa0.1",5.6e-52,"B/C"
"M00595:42:000000000-A5J1T:1:1110:5914:19977",2,"DBLa0.9",6e-53,"B/C"
"M00595:42:000000000-A5J1T:1:1110:6038:18373",2,"DBLa0.1",1.3e-59,"B/C"
"M00595:42:000000000-A5J1T:1:1110:6267:9763",2,"DBLa0.17",2.6e-54,"B/C"
"M00595:42:000000000-A5J1T:1:1110:6609:9335",3,"DBLa0.5",2.6e-58,"B/C"
"M00595:42:000000000-A5J1T:1:1110:6769:20121",2,"DBLa0.15",5.1e-50,"B/C"
"M00595:42:000000000-A5J1T:1:1110:6926:20457",2,"DBLa0.14",6.4e-58,"B/C"
"M00595:42:000000000-A5J1T:1:1110:6979:5007",2,"DBLa0.8",5.8e-56,"B/C"
"M00595:42:000000000-A5J1T:1:1110:7161:11943",2,"DBLa0.8",6.3e-52,"B/C"
"M00595:42:000000000-A5J1T:1:1110:7334:12471",2,"DBLa1.1",1.8e-51,"A"
"M00595:42:000000000-A5J1T:1:1110:7524:17503",8,"DBLa0.19",2.2e-56,"B/C"
"M00595:42:000000000-A5J1T:1:1110:8132:17128",2,"DBLa0.11",6.7e-59,"B/C"
"M00595:42:000000000-A5J1T:1:1110:8157:19238",2,"DBLa0.22",3.6e-50,"B/C"
"M00595:42:000000000-A5J1T:1:1110:8189:17096",2,"DBLa0.19",8.3e-43,"B/C"
"M00595:42:000000000-A5J1T:1:1110:8194:11143",2,"DBLa0.11",5.5e-60,"B/C"
"M00595:42:000000000-A5J1T:1:1110:8419:19091",9,"DBLa0.1",1.1e-49,"B/C"
"M00595:42:000000000-A5J1T:1:1110:8503:22084",2,"DBLa0.21",4.4e-51,"B/C"
"M00595:42:000000000-A5J1T:1:1110:8600:22934",3,"DBLa0.8",2.2e-53,"B/C"
"M00595:42:000000000-A5J1T:1:1110:8731:2254",3,"DBLa0.8",1.9e-52,"B/C"
"M00595:42:000000000-A5J1T:1:1110:9241:7762",4,"DBLa0.3",4e-47,"B/C"
"M00595:42:000000000-A5J1T:1:1110:9292:15948",6,"DBLa1.8",6.2e-57,"A"
"M00595:42:000000000-A5J1T:1:1110:9392:10258",3,"DBLa0.15",3.1e-54,"B/C"
"M00595:42:000000000-A5J1T:1:1110:9395:5499",2,"DBLa1.8",5e-55,"A"
"M00595:42:000000000-A5J1T:1:1110:9491:9387",8,"DBLa1.8",3e-55,"A"
"M00595:42:000000000-A5J1T:1:1110:9492:7099",2,"DBLa0.15",8.3e-55,"B/C"
"M00595:42:000000000-A5J1T:1:1110:9530:21035",2,"DBLa0.17",3.5e-55,"B/C"
"M00595:42:000000000-A5J1T:1:1110:9784:18468",3,"DBLa0.1",2.6e-58,"B/C"
"M00595:42:000000000-A5J1T:1:1110:9869:11564",2,"DBLa0.1",1.2e-56,"B/C"
"M00595:42:000000000-A5J1T:1:1110:9879:5060",13,"DBLa0.4",4.3e-47,"B/C"
"M00595:42:000000000-A5J1T:1:1111:10138:14440",7,"DBLa1.8",9.3e-60,"A"
"M00595:42:000000000-A5J1T:1:1111:10171:2220",2,"DBLa0.5",2.9e-54,"B/C"
"M00595:42:000000000-A5J1T:1:1111:10190:19342",3,"DBLa0.10",9.8e-55,"B/C"
"M00595:42:000000000-A5J1T:1:1111:10237:21072",2,"DBLa0.12",3.4e-43,"B/C"
"M00595:42:000000000-A5J1T:1:1111:10258:8809",8,"DBLa0.1",3.6e-58,"B/C"
"M00595:42:000000000-A5J1T:1:1111:10478:9773",2,"DBLa1.4",8.2e-44,"A"
"M00595:42:000000000-A5J1T:1:1111:10500:17855",2,"DBLa0.11",1.5e-53,"B/C"
"M00595:42:000000000-A5J1T:1:1111:10584:20423",2,"DBLa0.1",9.4e-58,"B/C"
"M00595:42:000000000-A5J1T:1:1111:10651:16387",2,"DBLa0.12",2.4e-43,"B/C"
"M00595:42:000000000-A5J1T:1:1111:10985:5337",3,"DBLa0.20",7.3e-51,"B/C"
"M00595:42:000000000-A5J1T:1:1111:11142:3991",2,"DBLa0.5",3.3e-53,"B/C"
"M00595:42:000000000-A5J1T:1:1111:11212:13888",2,"DBLa0.1",9.4e-59,"B/C"
"M00595:42:000000000-A5J1T:1:1111:11218:4142",5,"DBLa0.15",1.8e-56,"B/C"
"M00595:42:000000000-A5J1T:1:1111:11242:15884",2,"DBLa0.8",1.5e-53,"B/C"
"M00595:42:000000000-A5J1T:1:1111:11284:19781",6,"DBLa0.19",7.6e-54,"B/C"
"M00595:42:000000000-A5J1T:1:1111:11293:12894",2,"DBLa0.24",1.8e-49,"B/C"
"M00595:42:000000000-A5J1T:1:1111:11301:12847",2,"DBLa0.15",1.5e-55,"B/C"
"M00595:42:000000000-A5J1T:1:1111:11352:20859",2,"DBLa0.1",2.9e-56,"B/C"
"M00595:42:000000000-A5J1T:1:1111:11448:7354",2,"DBLa0.11",5.7e-55,"B/C"
"M00595:42:000000000-A5J1T:1:1111:11448:8467",2,"DBLa0.12",7.8e-50,"B/C"
"M00595:42:000000000-A5J1T:1:1111:11562:10009",2,"DBLa0.11",6.6e-57,"B/C"
"M00595:42:000000000-A5J1T:1:1111:11696:5920",2,"DBLa0.11",3e-62,"B/C"
"M00595:42:000000000-A5J1T:1:1111:11887:15025",2,"DBLa0.8",2.8e-57,"B/C"
"M00595:42:000000000-A5J1T:1:1111:11969:22490",2,"DBLa0.10",4.7e-55,"B/C"
"M00595:42:000000000-A5J1T:1:1111:12065:5658",2,"DBLa0.8",5.6e-54,"B/C"
"M00595:42:000000000-A5J1T:1:1111:12192:18828",2,"DBLa0.17",1.3e-50,"B/C"
"M00595:42:000000000-A5J1T:1:1111:12200:6654",2,"DBLa0.21",1.1e-55,"B/C"
"M00595:42:000000000-A5J1T:1:1111:12361:10512",3,"DBLa0.19",2.3e-56,"B/C"
"M00595:42:000000000-A5J1T:1:1111:12372:14675",4,"DBLa0.12",3.4e-51,"B/C"
"M00595:42:000000000-A5J1T:1:1111:12384:7551",2,"DBLa0.24",3.4e-45,"B/C"
"M00595:42:000000000-A5J1T:1:1111:12440:3383",10,"DBLa1.5",5.8e-50,"A"
"M00595:42:000000000-A5J1T:1:1111:12524:23971",4,"DBLa0.9",2.7e-53,"B/C"
"M00595:42:000000000-A5J1T:1:1111:12533:7296",2,"DBLa0.1",3.9e-56,"B/C"
"M00595:42:000000000-A5J1T:1:1111:12641:11928",2,"DBLa0.4",6.9e-47,"B/C"
"M00595:42:000000000-A5J1T:1:1111:12663:19300",2,"DBLa0.15",3.2e-54,"B/C"
"M00595:42:000000000-A5J1T:1:1111:12671:13568",3,"DBLa2",2.3e-53,"B/C"
"M00595:42:000000000-A5J1T:1:1111:12830:11514",2,"DBLa0.24",2.6e-51,"B/C"
"M00595:42:000000000-A5J1T:1:1111:12838:11274",2,"DBLa0.9",2.6e-51,"B/C"
