Isolate,Survey
S2MRS1107,S2
S2MRS0983,S2
S2MRS1512,S2
S2MRS0985,S2
S2MRS1103,S2
S2MRS1516,S2
S2MRS0989,S2
S2MRS0988,S2
S2MRS1108,S2
S2MRS0866,S2
S2MRS1293,S2
S2MRS1793,S2
S2MRS1299,S2
S2MRS1194,S2
S2MRS1192,S2
S2MRS1209,S2
S2MRS1208,S2
S2MRS0212,S2
S2MRS1568,S2
S2MRS1203,S2
S2MRS1417,S2
S2MRS2032,S2
S2MRS1743,S2
S2MRS1425,S2
S2MRS0281,S2
S2MRS1420,S2
S2MRS0910,S2
S2MRS1798,S2
S2MRS1586,S2
S2MRS1837,S2
S2MRS0220,S2
S2MRS1927,S2
S2MRS1923,S2
S2MRS1737,S2
S2MRS0045,S2
S2MRS0047,S2
S2MRS0041,S2
S2MRS0735,S2
S2MRS0048,S2
S2MRS0444,S2
S2MRS2420,S2
S2MRS2355,S2
S2MRS2350,S2
S2MRS1810,S2
S2MRS1814,S2
S2MRS1952,S2
S2MRS0130,S2
S2MRS1958,S2
S2MRS0031,S2
S2MRS0424,S2
S2MRS0425,S2
S2MRS0035,S2
S2MRS0787,S2
S2MRS0038,S2
S2MRS0783,S2
S2MRS0781,S2
S2MRS1918,S2
S2MRS1251,S2
S2MRS1600,S2
S2MRS1532,S2
S2MRS1602,S2
S2MRS0257,S2
S2MRS0256,S2
S2MRS1324,S2
S2MRS0556,S2
S2MRS0258,S2
S2MRS1320,S2
S2MRS0555,S2
S2MRS1077,S2
S2MRS1072,S2
S2MRS0796,S2
S2MRS1070,S2
S2MRS1178,S2
S2MRS1177,S2
S2MRS1176,S2
S2MRS1175,S2
S2MRS1171,S2
S2MRS0957,S2
S2MRS0816,S2
S2MRS0958,S2
S2MRS1559,S2
S2MRS1493,S2
S2MRS1550,S2
S2MRS1552,S2
S2MRS2411,S2
S2MRS1676,S2
S2MRS1671,S2
S2MRS1479,S2
S2MRS1770,S2
S2MRS1471,S2
S2MRS0773,S2
S2MRS0675,S2
S2MRS0671,S2
S2MRS0670,S2
S2MRS0678,S2
S2MRS2076,S2
S2MRS2391,S2
S2MRS2394,S2
S2MRS2254,S2
S2MRS2150,S2
S2MRS1608,S2
S2MRS0588,S2
S2MRS2157,S2
S2MRS2159,S2
S2MRS0587,S2
S2MRS0586,S2
S2MRS1605,S2
S2MRS0175,S2
S2MRS0179,S2
S2MRS0073,S2
S2MRS2155,S2
